transaction_id,user_id,amount,status,failure_reason,refund_time_hrs,hour_of_day,fraud_flag
TXN115,1295,2066,failed,network,0,12,0
TXN116,1724,9438,success,NA,0,23,0
TXN117,1719,1822,success,NA,0,12,1
TXN118,1748,8403,success,NA,0,0,0
TXN119,1337,4026,success,NA,0,15,0
TXN120,1878,1801,success,NA,0,3,0
TXN121,1052,9017,pending,NA,0,16,0
TXN122,1791,7480,success,NA,0,17,0
TXN123,1921,7220,success,NA,0,15,0
TXN124,1216,6519,success,NA,0,0,0
TXN125,1763,9181,success,NA,0,5,0
TXN126,1187,3270,success,NA,0,10,0
TXN127,1379,589,success,NA,0,5,1
TXN128,1492,1511,success,NA,0,16,0
TXN129,1040,5234,success,NA,0,3,0
TXN130,1156,8597,success,NA,0,13,0
TXN131,1014,284,success,NA,0,13,0
TXN132,1812,1598,success,NA,0,19,0
TXN133,1064,7530,success,NA,0,7,1
TXN134,1856,4263,success,NA,0,21,0
TXN135,1838,1723,success,NA,0,1,0
TXN136,1520,6758,success,NA,0,4,0
TXN137,1343,8032,success,NA,0,3,0
TXN138,1128,2150,success,NA,0,9,0
TXN139,1647,3798,success,NA,0,19,0
TXN140,1471,3223,success,NA,0,23,1
TXN141,1062,1865,success,NA,0,20,0
TXN142,1138,3891,failed,NA,0,2,0
TXN143,1498,8066,failed,bank,6,15,0
TXN144,1592,7061,success,NA,0,9,0
TXN145,1391,4543,success,NA,0,14,0
TXN146,1674,724,success,NA,0,3,0
TXN147,1418,8138,pending,network,0,0,0
TXN148,1288,8628,pending,fraud,0,21,0
TXN149,1378,2208,success,NA,0,14,0
TXN150,1772,2711,failed,fraud,0,9,0
TXN151,1489,2114,success,NA,0,19,0
TXN152,1230,3303,success,NA,0,21,0
TXN153,1040,5029,success,NA,0,17,0
TXN154,1027,7753,success,NA,0,15,0
TXN155,1134,8981,failed,fraud,6,20,0
TXN156,1200,1451,success,NA,0,8,0
TXN157,1839,3309,success,NA,0,23,0
TXN158,1779,3973,failed,network,0,18,0
TXN159,1929,4264,failed,NA,2,16,1
TXN160,1032,3277,success,NA,0,9,1
TXN161,1047,2795,success,NA,0,18,0
TXN162,1502,6141,success,NA,0,7,0
TXN163,1406,3916,success,NA,0,18,0
TXN164,1573,5868,pending,user,0,4,0
TXN165,1727,2272,failed,user,0,1,0
TXN166,1804,2842,success,NA,0,14,0
TXN167,1098,9939,success,NA,0,16,0
TXN168,1683,4113,success,NA,0,9,0
TXN169,1871,1574,failed,bank,0,20,0
TXN170,1725,8274,success,NA,0,20,0
TXN171,1986,6248,success,NA,0,21,0
TXN172,1546,4075,success,NA,0,1,0
TXN173,1960,2616,success,NA,0,8,0
TXN174,1738,2853,success,NA,0,1,0
TXN175,1612,3759,success,NA,0,17,0
TXN176,1942,6205,failed,fraud,0,11,0
TXN177,1461,769,failed,NA,24,14,0
TXN178,1642,6566,success,NA,0,20,0
TXN179,1768,4629,success,NA,0,19,0
TXN180,1004,1022,success,NA,0,5,0
TXN181,1217,3768,success,NA,0,17,0
TXN182,1502,7445,success,NA,0,12,0
TXN183,1766,4452,failed,fraud,6,3,0
TXN184,1397,4602,success,NA,0,11,0
TXN185,1870,2257,success,NA,0,8,0
TXN186,1794,4476,failed,user,0,1,0
TXN187,1392,6969,pending,fraud,0,15,0
TXN188,1206,8885,success,NA,0,0,0
TXN189,1014,8436,success,NA,0,3,0
TXN190,1857,8730,success,NA,0,14,0
TXN191,1553,2254,success,NA,0,19,0
TXN192,1891,5395,success,NA,0,0,0
TXN193,1460,3326,success,NA,0,19,0
TXN194,1690,1152,pending,fraud,0,14,0
TXN195,1574,5293,success,NA,0,2,0
TXN196,1863,6664,success,NA,0,12,0
TXN197,1742,9483,success,NA,0,17,0
TXN198,1240,8757,success,NA,0,12,0
TXN199,1563,5273,failed,NA,0,9,0
TXN200,1095,8634,success,NA,0,19,0
TXN201,1899,680,success,NA,0,23,0
TXN202,1733,9221,success,NA,0,6,0
TXN203,1484,6733,success,NA,0,7,0
TXN204,1406,327,success,NA,0,0,0
TXN205,1230,282,success,NA,0,17,0
TXN206,1748,9794,success,NA,0,11,0
TXN207,1654,5740,success,NA,0,17,0
TXN208,1170,7709,success,NA,0,23,0
TXN209,1540,75,failed,NA,0,11,0
TXN210,1035,7518,failed,network,12,19,0
TXN211,1524,6460,success,NA,0,8,0
TXN212,1159,8702,success,NA,0,1,0
TXN213,1838,3814,success,NA,0,13,0
TXN214,1698,6649,success,NA,0,3,0
TXN215,1242,5152,success,NA,0,14,0
TXN216,1085,7056,failed,network,2,16,0
TXN217,1795,3533,failed,user,0,18,0
TXN218,1577,2044,success,NA,0,5,0
TXN219,1681,8732,success,NA,0,8,0
TXN220,1556,1122,failed,network,6,16,0
TXN221,1573,6757,failed,NA,24,14,0
TXN222,1952,265,success,NA,0,4,0
TXN223,1645,7655,success,NA,0,17,0
TXN224,1795,9965,success,NA,0,22,0
TXN225,1027,9834,success,NA,0,3,0
TXN226,1619,2656,success,NA,0,20,0
TXN227,1555,8400,success,NA,0,23,0
TXN228,1339,4831,success,NA,0,1,0
TXN229,1797,3363,success,NA,0,18,0
TXN230,1957,7813,success,NA,0,4,0
TXN231,1330,5989,success,NA,0,3,0
TXN232,1639,2345,failed,bank,6,4,0
TXN233,1505,5735,failed,NA,2,18,0
TXN234,1347,1746,success,NA,0,12,0
TXN235,1472,1996,success,NA,0,15,0
TXN236,1230,2833,pending,fraud,0,11,0
TXN237,1189,3694,success,NA,0,8,0
TXN238,1224,5291,success,NA,0,23,0
TXN239,1384,6470,success,NA,0,15,0
TXN240,1376,7607,success,NA,0,13,0
TXN241,1282,2695,success,NA,0,21,0
TXN242,1957,6639,failed,user,0,0,0
TXN243,1632,6403,success,NA,0,19,0
TXN244,1627,1982,success,NA,0,22,0
TXN245,1972,1807,failed,bank,6,20,0
TXN246,1744,5135,success,NA,0,3,0
TXN247,1258,5687,success,NA,0,8,0
TXN248,1358,1166,success,NA,0,23,0
TXN249,1709,542,success,NA,0,18,0
TXN250,1455,8861,success,NA,0,13,0
TXN251,1410,7938,success,NA,0,21,0
TXN252,1648,6524,success,NA,0,11,0
TXN253,1317,9788,success,NA,0,3,0
TXN254,1676,5008,success,NA,0,6,0
TXN255,1224,9847,success,NA,0,16,0
TXN256,1818,9517,success,NA,0,0,0
TXN257,1233,2793,success,NA,0,13,0
TXN258,1683,7916,success,NA,0,14,1
TXN259,1663,7210,failed,fraud,6,11,0
TXN260,1974,5501,success,NA,0,11,0
TXN261,1826,5308,success,NA,0,5,0
TXN262,1373,8598,success,NA,0,12,0
TXN263,1671,7236,success,NA,0,15,0
TXN264,1607,6152,success,NA,0,13,0
TXN265,1471,9111,failed,network,24,6,0
TXN266,1232,9127,failed,fraud,0,15,0
TXN267,1691,9525,success,NA,0,22,0
TXN268,1112,669,success,NA,0,8,0
TXN269,1829,932,success,NA,0,13,0
TXN270,1496,9038,success,NA,0,23,0
TXN271,1441,3692,success,NA,0,6,1
TXN272,1563,1346,success,NA,0,11,0
TXN273,1267,8486,failed,user,0,2,0
TXN274,1509,2945,success,NA,0,13,0
TXN275,1806,6643,success,NA,0,18,0
TXN276,1385,979,success,NA,0,10,0
TXN277,1386,5416,success,NA,0,4,0
TXN278,1112,8761,success,NA,0,22,0
TXN279,1612,3262,failed,NA,2,12,0
TXN280,1624,2459,success,NA,0,9,1
TXN281,1951,8249,success,NA,0,6,0
TXN282,1080,3473,success,NA,0,16,0
TXN283,1698,7026,success,NA,0,15,0
TXN284,1112,7644,pending,fraud,0,7,0
TXN285,1001,5208,success,NA,0,16,0
TXN286,1641,3717,success,NA,0,12,0
TXN287,1219,6023,pending,user,0,10,0
TXN288,1565,6286,success,NA,0,19,0
TXN289,1854,8327,success,NA,0,17,0
TXN290,1996,2518,success,NA,0,4,1
TXN291,1735,6267,failed,NA,0,5,0
TXN292,1224,3669,success,NA,0,19,0
TXN293,1384,1686,success,NA,0,13,0
TXN294,1402,8205,success,NA,0,11,0
TXN295,1637,3633,success,NA,0,3,0
TXN296,1129,4059,success,NA,0,6,0
TXN297,1052,3376,success,NA,0,10,0
TXN298,1683,8198,success,NA,0,19,0
TXN299,1729,2267,success,NA,0,1,0
TXN300,1671,5017,success,NA,0,3,0
TXN301,1709,2419,success,NA,0,6,0
TXN302,1415,3688,failed,NA,0,0,0
TXN303,1246,9185,success,NA,0,14,0
TXN304,1835,5772,success,NA,0,19,0
TXN305,1438,4494,success,NA,0,21,0
TXN306,1202,7668,success,NA,0,23,0
TXN307,1183,3997,failed,bank,0,7,0
TXN308,1122,1726,failed,fraud,12,4,0
TXN309,1400,1246,failed,user,2,13,0
TXN310,1766,2837,success,NA,0,17,0
TXN311,1293,7482,success,NA,0,2,0
TXN312,1279,9703,success,NA,0,1,0
TXN313,1836,7977,success,NA,0,21,0
TXN314,1883,3368,success,NA,0,15,0
TXN315,1609,8908,failed,NA,0,13,0
TXN316,1197,6739,success,NA,0,15,0
TXN317,1981,2226,success,NA,0,10,0
TXN318,1906,3793,success,NA,0,16,0
TXN319,1510,8842,failed,bank,2,2,0
TXN320,1751,4472,success,NA,0,22,0
TXN321,1143,3874,success,NA,0,22,0
TXN322,1608,9221,failed,user,2,4,0
TXN323,1200,2501,success,NA,0,2,0
TXN324,1123,678,success,NA,0,14,0
TXN325,1186,9871,success,NA,0,22,0
TXN326,1325,7828,success,NA,0,4,0
TXN327,1463,3746,failed,NA,0,21,0
TXN328,1348,3724,success,NA,0,2,0
TXN329,1770,3979,success,NA,0,5,0
TXN330,1659,2815,success,NA,0,22,0
TXN331,1763,4419,success,NA,0,13,0
TXN332,1954,8357,success,NA,0,23,0
TXN333,1931,5006,success,NA,0,1,0
TXN334,1402,742,success,NA,0,17,0
TXN335,1345,3212,success,NA,0,5,0
TXN336,1962,1155,failed,network,6,23,0
TXN337,1510,3058,success,NA,0,4,0
TXN338,1146,2211,success,NA,0,13,0
TXN339,1147,8395,success,NA,0,16,0
TXN340,1863,3749,failed,fraud,0,10,0
TXN341,1710,3836,success,NA,0,0,0
TXN342,1819,9306,success,NA,0,9,0
TXN343,1488,4250,success,NA,0,8,0
TXN344,1928,1963,success,NA,0,19,0
TXN345,1935,9458,success,NA,0,11,0
TXN346,1639,5570,failed,bank,0,0,0
TXN347,1550,1822,pending,NA,0,23,0
TXN348,1337,2830,success,NA,0,17,0
TXN349,1871,7473,success,NA,0,11,0
TXN350,1640,2921,success,NA,0,1,0
TXN351,1778,710,success,NA,0,0,0
TXN352,1987,6292,pending,user,0,0,0
TXN353,1952,1182,success,NA,0,0,0
TXN354,1472,749,success,NA,0,21,0
TXN355,1945,7520,success,NA,0,11,0
TXN356,1150,6347,success,NA,0,6,0
TXN357,1414,7862,success,NA,0,3,0
TXN358,1989,4607,success,NA,0,20,0
TXN359,1297,2229,success,NA,0,19,0
TXN360,1610,9115,failed,user,24,3,0
TXN361,1262,8325,success,NA,0,14,0
TXN362,1763,1472,success,NA,0,0,0
TXN363,1143,3230,success,NA,0,5,1
TXN364,1345,4366,success,NA,0,13,0
TXN365,1623,6746,success,NA,0,13,0
TXN366,1571,9633,success,NA,0,9,0
TXN367,1880,664,success,NA,0,6,0
TXN368,1001,4620,success,NA,0,22,0
TXN369,1896,320,failed,fraud,0,23,0
TXN370,1303,2518,success,NA,0,22,0
TXN371,1253,9632,success,NA,0,21,0
TXN372,1651,3657,success,NA,0,11,0
TXN373,1452,3125,success,NA,0,23,0
TXN374,1036,339,success,NA,0,18,0
TXN375,1159,8170,failed,bank,6,8,1
TXN376,1008,6664,success,NA,0,2,0
TXN377,1232,3302,failed,network,0,3,0
TXN378,1098,7465,success,NA,0,12,0
TXN379,1658,6821,success,NA,0,9,0
TXN380,1815,328,success,NA,0,13,0
TXN381,1207,630,failed,network,0,5,0
TXN382,1130,5008,success,NA,0,7,0
TXN383,1403,8495,failed,bank,0,18,0
TXN384,1151,4326,failed,network,48,9,0
TXN385,1053,8047,failed,NA,12,21,0
TXN386,1119,4826,success,NA,0,4,0
TXN387,1672,874,success,NA,0,4,0
TXN388,1919,3882,success,NA,0,4,1
TXN389,1627,8941,success,NA,0,8,0
TXN390,1586,5495,success,NA,0,22,0
TXN391,1624,1430,success,NA,0,8,0
TXN392,1967,9915,success,NA,0,14,0
TXN393,1419,6584,success,NA,0,8,0
TXN394,1421,3206,success,NA,0,13,0
TXN395,1103,4357,success,NA,0,5,0
TXN396,1851,5684,success,NA,0,21,0
TXN397,1253,8625,success,NA,0,19,0
TXN398,1226,5860,success,NA,0,7,0
TXN399,1111,8583,success,NA,0,1,0
TXN400,1509,5984,success,NA,0,4,0
TXN401,1472,3159,success,NA,0,16,0
TXN402,1098,4132,success,NA,0,9,0
TXN403,1152,3290,success,NA,0,13,0
TXN404,1860,6078,success,NA,0,17,0
TXN405,1913,1899,success,NA,0,0,0
TXN406,1895,8547,success,NA,0,21,0
TXN407,1877,2799,success,NA,0,1,0
TXN408,1337,6730,success,NA,0,3,0
TXN409,1705,9377,success,NA,0,12,0
TXN410,1821,255,success,NA,0,15,0
TXN411,1162,7402,success,NA,0,4,0
TXN412,1719,4641,success,NA,0,22,0
TXN413,1956,3500,success,NA,0,9,0
TXN414,1680,7264,success,NA,0,16,0
TXN415,1995,3861,success,NA,0,10,0
TXN416,1160,5191,failed,network,0,4,0
TXN417,1579,8551,success,NA,0,14,0
TXN418,1800,2758,success,NA,0,3,0
TXN419,1397,2041,success,NA,0,6,0
TXN420,1276,8513,success,NA,0,9,0
TXN421,1815,3323,failed,NA,48,22,0
TXN422,1915,4588,success,NA,0,23,0
TXN423,1503,8762,success,NA,0,3,0
TXN424,1895,9218,failed,user,0,19,0
TXN425,1391,3772,success,NA,0,4,0
TXN426,1134,3601,success,NA,0,4,0
TXN427,1194,2882,pending,bank,0,10,0
TXN428,1400,5729,success,NA,0,18,0
TXN429,1639,6629,success,NA,0,4,0
TXN430,1032,202,success,NA,0,20,0
TXN431,1687,5804,success,NA,0,7,0
TXN432,1459,2850,success,NA,0,6,0
TXN433,1954,5360,failed,NA,2,7,0
TXN434,1882,9994,success,NA,0,12,0
TXN435,1469,2660,success,NA,0,4,0
TXN436,1374,1154,failed,bank,12,17,1
TXN437,1021,7411,success,NA,0,23,0
TXN438,1749,4249,success,NA,0,8,0
TXN439,1669,3904,success,NA,0,1,0
TXN440,1037,7313,failed,user,2,15,0
TXN441,1229,1964,failed,user,0,13,0
TXN442,1364,7415,success,NA,0,16,0
TXN443,1562,3122,success,NA,0,5,0
TXN444,1437,9248,success,NA,0,2,1
TXN445,1775,456,failed,user,48,16,0
TXN446,1282,216,success,NA,0,12,0
TXN447,1026,558,success,NA,0,5,0
TXN448,1225,1711,failed,network,0,7,0
TXN449,1276,3714,success,NA,0,5,0
TXN450,1797,3539,success,NA,0,15,0
TXN451,1608,730,success,NA,0,5,0
TXN452,1283,2574,success,NA,0,16,0
TXN453,1878,2170,success,NA,0,20,0
TXN454,1959,5310,failed,fraud,0,2,0
TXN455,1480,4407,success,NA,0,22,0
TXN456,1452,1413,success,NA,0,11,0
TXN457,1828,9573,success,NA,0,5,1
TXN458,1815,2342,success,NA,0,20,0
TXN459,1658,1588,success,NA,0,6,0
TXN460,1515,3458,success,NA,0,10,0
TXN461,1546,7792,failed,user,2,8,0
TXN462,1191,8802,success,NA,0,15,0
TXN463,1048,9341,success,NA,0,4,0
TXN464,1511,1953,success,NA,0,14,1
TXN465,1016,224,failed,user,48,20,1
TXN466,1171,2280,success,NA,0,3,0
TXN467,1219,4337,success,NA,0,4,1
TXN468,1157,4210,success,NA,0,6,1
TXN469,1476,7156,failed,bank,2,2,0
TXN470,1045,9739,success,NA,0,3,0
TXN471,1372,3221,success,NA,0,14,0
TXN472,1517,1617,success,NA,0,1,0
TXN473,1098,1201,success,NA,0,23,0
TXN474,1891,7669,success,NA,0,4,0
TXN475,1744,6083,success,NA,0,6,0
TXN476,1036,8610,success,NA,0,21,1
TXN477,1279,4996,pending,fraud,0,16,0
TXN478,1348,8284,failed,bank,0,7,0
TXN479,1496,1957,success,NA,0,8,0
TXN480,1301,3540,failed,bank,0,9,0
TXN481,1180,2585,success,NA,0,10,0
TXN482,1606,4223,success,NA,0,0,0
TXN483,1098,1343,success,NA,0,14,0
TXN484,1699,4819,success,NA,0,7,0
TXN485,1992,4846,success,NA,0,18,0
TXN486,1115,6921,success,NA,0,11,0
TXN487,1190,3022,success,NA,0,5,0
TXN488,1252,3972,success,NA,0,9,0
TXN489,1980,5047,success,NA,0,23,0
TXN490,1927,7082,success,NA,0,4,0
TXN491,1982,1042,failed,fraud,12,23,0
TXN492,1160,8162,success,NA,0,6,0
TXN493,1255,5337,success,NA,0,6,0
TXN494,1322,2290,success,NA,0,22,0
TXN495,1127,1526,success,NA,0,21,0
TXN496,1017,6476,failed,NA,24,21,0
TXN497,1792,439,success,NA,0,8,0
TXN498,1734,1049,success,NA,0,14,0
TXN499,1565,1905,success,NA,0,5,0
TXN500,1569,8175,success,NA,0,15,1
TXN501,1322,8900,pending,fraud,0,6,1
TXN502,1871,2813,success,NA,0,14,0
TXN503,1685,3713,success,NA,0,22,0
TXN504,1791,5036,success,NA,0,1,0
TXN505,1625,1531,success,NA,0,7,0
TXN506,1287,7306,success,NA,0,11,0
TXN507,1942,3781,success,NA,0,10,0
TXN508,1853,7312,success,NA,0,5,0
TXN509,1662,501,success,NA,0,19,0
TXN510,1961,9779,failed,bank,6,12,0
TXN511,1638,3143,success,NA,0,22,0
TXN512,1154,932,success,NA,0,15,0
TXN513,1489,4458,success,NA,0,7,0
TXN514,1385,4118,success,NA,0,16,0
TXN515,1985,3327,success,NA,0,12,0
TXN516,1784,8616,success,NA,0,3,0
TXN517,1103,8001,success,NA,0,19,0
TXN518,1928,4740,success,NA,0,9,0
TXN519,1392,4645,failed,NA,6,21,0
TXN520,1810,4609,success,NA,0,19,0
TXN521,1245,7341,success,NA,0,15,0
TXN522,1175,8210,success,NA,0,16,0
TXN523,1038,162,failed,NA,0,7,0
TXN524,1476,5181,failed,bank,0,10,0
TXN525,1681,3247,success,NA,0,4,0
TXN526,1758,189,success,NA,0,20,0
TXN527,1537,1474,success,NA,0,15,0
TXN528,1866,2999,success,NA,0,23,0
TXN529,1817,3218,failed,NA,0,7,0
TXN530,1920,8758,success,NA,0,20,0
TXN531,1407,6093,success,NA,0,15,0
TXN532,1524,7039,success,NA,0,3,0
TXN533,1827,7286,success,NA,0,5,1
TXN534,1505,6311,success,NA,0,20,0
TXN535,1902,937,success,NA,0,7,0
TXN536,1824,3154,success,NA,0,8,0
TXN537,1035,99,success,NA,0,12,0
TXN538,1684,4001,success,NA,0,16,0
TXN539,1019,3610,success,NA,0,8,0
TXN540,1320,68,success,NA,0,12,1
TXN541,1775,4871,success,NA,0,8,0
TXN542,1511,6390,success,NA,0,5,0
TXN543,1399,8108,failed,fraud,24,9,0
TXN544,1653,9715,failed,bank,2,4,0
TXN545,1971,2656,failed,fraud,6,6,0
TXN546,1882,7896,success,NA,0,10,0
TXN547,1470,8693,success,NA,0,23,0
TXN548,1142,6482,success,NA,0,8,0
TXN549,1091,3815,failed,bank,0,9,0
TXN550,1353,2488,pending,network,0,10,0
TXN551,1833,9791,failed,fraud,0,2,0
TXN552,1799,6408,success,NA,0,7,0
TXN553,1726,8369,failed,network,12,16,0
TXN554,1958,5991,success,NA,0,6,0
TXN555,1853,7694,success,NA,0,11,0
TXN556,1050,4905,success,NA,0,15,0
TXN557,1664,6597,success,NA,0,14,0
TXN558,1697,7246,success,NA,0,20,0
TXN559,1574,5961,success,NA,0,12,0
TXN560,1189,6531,success,NA,0,17,0
TXN561,1124,2811,success,NA,0,17,0
TXN562,1149,4506,failed,NA,0,23,0
TXN563,1313,9657,success,NA,0,4,0
TXN564,1569,6411,success,NA,0,13,0
TXN565,1341,5743,failed,bank,0,10,0
TXN566,1304,5838,failed,user,0,2,0
TXN567,1691,251,success,NA,0,16,0
TXN568,1681,6210,success,NA,0,22,0
TXN569,1837,567,success,NA,0,11,0
TXN570,1782,7787,success,NA,0,2,0
TXN571,1053,9583,success,NA,0,22,0
TXN572,1443,2038,failed,bank,2,1,0
TXN573,1612,3852,success,NA,0,3,0
TXN574,1992,5858,failed,network,0,17,0
TXN575,1263,7212,failed,bank,2,19,0
TXN576,1052,6291,failed,bank,2,20,0
TXN577,1571,8449,success,NA,0,13,0
TXN578,1619,5683,failed,user,0,7,0
TXN579,1004,5805,success,NA,0,1,0
TXN580,1102,6359,success,NA,0,18,0
TXN581,1195,4167,success,NA,0,9,0
TXN582,1773,8395,success,NA,0,4,1
TXN583,1876,1568,success,NA,0,10,0
TXN584,1991,6213,success,NA,0,8,0
TXN585,1883,2650,success,NA,0,15,0
TXN586,1349,2245,success,NA,0,4,0
TXN587,1046,3604,success,NA,0,14,0
TXN588,1866,2899,success,NA,0,13,0
TXN589,1822,1792,failed,bank,0,8,0
TXN590,1935,1356,success,NA,0,19,0
TXN591,1819,3899,success,NA,0,4,0
TXN592,1655,7569,success,NA,0,14,0
TXN593,1268,4245,success,NA,0,8,0
TXN594,1369,5228,success,NA,0,3,0
TXN595,1635,2605,success,NA,0,20,0
TXN596,1105,2355,pending,network,0,20,0
TXN597,1669,7669,success,NA,0,3,1
TXN598,1658,9330,success,NA,0,19,0
TXN599,1656,2692,success,NA,0,20,0
TXN600,1119,9419,failed,bank,24,21,0
TXN601,1830,6459,success,NA,0,6,0
TXN602,1786,4807,success,NA,0,14,1
TXN603,1603,3044,success,NA,0,21,0
TXN604,1057,8801,success,NA,0,16,0
TXN605,1950,1321,success,NA,0,17,0
TXN606,1345,1863,success,NA,0,6,0
TXN607,1740,8851,success,NA,0,18,0
TXN608,1473,2511,success,NA,0,9,0
TXN609,1116,4170,success,NA,0,12,0
TXN610,1829,6174,success,NA,0,1,0
TXN611,1790,8525,success,NA,0,21,0
TXN612,1126,4446,success,NA,0,19,0
TXN613,1392,9333,failed,bank,6,10,0
TXN614,1907,866,failed,network,6,4,0
TXN615,1640,7354,success,NA,0,5,0
TXN616,1057,7381,success,NA,0,2,0
TXN617,1633,132,success,NA,0,0,0
TXN618,1512,1970,success,NA,0,2,0
TXN619,1750,7867,success,NA,0,2,0
TXN620,1801,2143,pending,NA,0,21,0
TXN621,1095,7121,success,NA,0,3,0
TXN622,1637,8017,success,NA,0,6,0
TXN623,1117,8417,success,NA,0,14,0
TXN624,1559,5335,success,NA,0,10,0
TXN625,1600,4987,success,NA,0,17,0
TXN626,1487,419,success,NA,0,11,0
TXN627,1236,1868,success,NA,0,3,0
TXN628,1884,2151,failed,fraud,2,23,0
TXN629,1896,3540,success,NA,0,10,0
